1,2,5,7,9,4,6,8,3,10
"AGCUORGNE'02622","02622","CUORGNE'","TO","012 4666745","","","","",""
"AGMONCALIERI016351","016351","MONCALIERI","TO","0116408016","VIA CAVOUR 5","10024","","",""
"AGCHIVASSO","207601","CHIVASSO","TO","0119131185","VIA SICCARDI , 18, 10034, CHIVASSO","10034","","",""
"AGCIGLIANO022361","022361","CIGLIANO","TO","0161424062","P.ZA DON EVASIO FERRARIS 4, 13043, CIGLIANO","13043","","",""
"AGGIAVENO650382","650382","GIAVENO","  ","0119376577","VIALE REGINA ELENA 46-48, 10094, GIAVENO","10094","","",""
"AGPIOSSASCO650383","650383","PIOSSASCO","  ","0119064152","VIA G. FERRARI 8, 10045, PIOSSASCO","10045","","",""
"AGORBASSANO650384","650384","ORBASSANO","  ","0119003462","VIA MONTESSORI 10/3, 10043, ORBASSANO","10043","","",""
"AGBEINASCO650385","650385","BEINASCO","  ","0113275396","STRADA TORINO 36, 10092, BEINASCO","10092","","",""
"AGOVADA024891","024891","OVADA","  ","014386390","CORSO ITALIA 43, 15076, OVADA","15076","","",""
"AGOLEGGIO","644731","OLEGGIO","  ","032191723","VIA BOURNE' 14, 28047, OLEGGIO","28047","","",""
"AGCHIERI","019071","CHIERI","  ","0119470756","STRADA RIVA 1, 10023, CHIERI","10023","","",""
"AGCAVOUR051256","051256","CAVOUR","  ","","","","","",""
"AGNOVI LIGURE016","016","NOVI LIGURE","  ","01432217","VIA MAZZINI, 17","15067","AGENZIA.NOVILIGURE.IT@GENERALI.COM","",""
"AGROVATO638","638","ROVATO","  ","0307701198","","","","",""
"AG0000","00","00","  ","848781313","","","SUPPORTODB@BROKERONLINE.IT","",""
"AG0000","00","00","  ","","","","","",""
"AG0000","00","00","  ","","","","","",""
"AGSAN MAURO T.SE666","666","SAN MAURO T.SE","  ","0118226655","","","","",""
"AG0000","00","00","  ","","","","","",""
"AG0000","00","00","  ","","","","","",""
"AG0000","00","00","  ","","","","","",""
"AG0000","00","00","  ","","","","","",""
"AG0000","00","00","  ","","","","","",""
"AGCUORGNETA4","TA4","CUORGNE","  ","","","","","",""
"AGMONCALIERI5048","5048","MONCALIERI","  ","0116404170","","","","",""
"AGCHIERI0517","0517","CHIERI","  ","0119425387","","","AG0517@AXA-AGENZIE.IT","",""
"AGVOGHERA48","48","VOGHERA","PV","038341784","VIA EMILIA, 48","27058","AGENZIA.VOGHERAEMILIA48.IT@GENERALI.COM","",""
"AGALBA00","00","ALBA","CN","0173284318","PZZA CRISTO RE, 15/B","12051","","",""
"AGACQUI TERMES16","S16","ACQUI TERME","AL","0144322851","CORSO DANTE, 30","15011","","",""
"AGVOLPIANO198","198","VOLPIANO","  "," 0119002334","",""," SINISTRIAGENZIA198@GMAIL.COM","",""
"AGSALUZZO00","00","SALUZZO","  ","0175 42626","","","","",""
"AGASTI00","00","ASTI","  ","0141557358","","","","",""
"AGMAGENTA170","170","MAGENTA","  ","","","","","",""
"AGCUNEO100","100","CUNEO","  ","","","","","",""
"AGORBASSANO159","159","ORBASSANO","  ","011 900 2334","","","","",""
"AGNOVI LIGURE2489","2489","NOVI LIGURE","  ","0143 75274","","","","",""
"AGCARMAGNOLA122","122","CARMAGNOLA","  ","011 972 3200","","","","",""
"AGIVREA0105","0105","IVREA","  "," 012548000","","","","",""
"AGTORINO594","594","TORINO","  ","0113115457","","","","",""
"AGPINEROLOTP8","TP8","PINEROLO","TO","0121322165","C.SO TORINO, 50","10060","","",""
"AGMONCALIERI10294","10294","MONCALIERI","  ","0116051849","","","","",""
"AGCHIERIA53","A53","CHIERI","TO","0119471188","VIA VITTORIO EMANUELE, 31","10023","","",""
"AGMONCALIERIA46","A46","MONCALIERI","TO","0116402112","CORSO SAVONA 15","10024","","",""
"AGTORINOA36","A36","TORINO","TO","0113190351","CORSO CORSIVA 19","10134","","",""
"AGPINEROLO1423","1423","PINEROLO","  ","0121 321950","","","","",""
"AGPINEROLO556","556","PINEROLO","  ","012175577","","","","",""
