"agencyIdentification","agencyCode","agencyCity","agencyProvince","agencyPhone","agencyAddress1","agencyCap","agencyEmail","agencyDescription","agencyfax","companyId","companyName","status","order"
"AGMONCALIERI016351","016351","MONCALIERI","TO","0116408016","VIA CAVOUR 5","10024","","","",1,"Cristallo srls","published",""
"AGCHIVASSO","207601","CHIVASSO","TO","0119131185","VIA SICCARDI , 18, 10034, CHIVASSO","10034","","","",1,"Cristallo srls","published",""
"AGCIGLIANO022361","022361","CIGLIANO","TO","0161424062","P.ZA DON EVASIO FERRARIS 4, 13043, CIGLIANO","13043","","","",1,"Cristallo srls","published",""
"AGGIAVENO650382","650382","GIAVENO","  ","0119376577","VIALE REGINA ELENA 46-48, 10094, GIAVENO","10094","","","",1,"Cristallo srls","published",""
"AGPIOSSASCO650383","650383","PIOSSASCO","  ","0119064152","VIA G. FERRARI 8, 10045, PIOSSASCO","10045","","","",1,"Cristallo srls","published",""
"AGORBASSANO650384","650384","ORBASSANO","  ","0119003462","VIA MONTESSORI 10/3, 10043, ORBASSANO","10043","","","",1,"Cristallo srls","published",""
"AGBEINASCO650385","650385","BEINASCO","  ","0113275396","STRADA TORINO 36, 10092, BEINASCO","10092","","","",1,"Cristallo srls","published",""
"AGOVADA024891","024891","OVADA","  ","014386390","CORSO ITALIA 43, 15076, OVADA","15076","","","",1,"Cristallo srls","published",""
"AGOLEGGIO","644731","OLEGGIO","  ","032191723","VIA BOURNE' 14, 28047, OLEGGIO","28047","","","",1,"Cristallo srls","published",""
"AGCHIERI","019071","CHIERI","  ","0119470756","STRADA RIVA 1, 10023, CHIERI","10023","","","",1,"Cristallo srls","published",""
"AGCAVOUR051256","051256","CAVOUR","  ","","","","","","",1,"Cristallo srls","published",""
"AGNOVI LIGURE016","016","NOVI LIGURE","  ","01432217","VIA MAZZINI, 17","15067","AGENZIA.NOVILIGURE.IT@GENERALI.COM","","",1,"Cristallo srls","published",""
"AGROVATO638","638","ROVATO","  ","0307701198","","","","","",1,"Cristallo srls","published",""
"AG0000","00","00","  ","848781313","","","SUPPORTODB@BROKERONLINE.IT","","",1,"Cristallo srls","published",""
"AG0000","00","00","  ","","","","","","",1,"Cristallo srls","published",""
"AG0000","00","00","  ","","","","","","",1,"Cristallo srls","published",""
"AGSAN MAURO T.SE666","666","SAN MAURO T.SE","  ","0118226655","","","","","",1,"Cristallo srls","published",""
"AG0000","00","00","  ","","","","","","",1,"Cristallo srls","published",""
"AG0000","00","00","  ","","","","","","",1,"Cristallo srls","published",""
"AG0000","00","00","  ","","","","","","",1,"Cristallo srls","published",""
