1,8,2,4,5,6,7,3
"ABY SERVIZI SRL","","","","","","",""
"ADRIATIC ASSICURAZIONI","","0409652883","SINISTRI@ADRIATIC-ASSICURAZIONI.IT","","","",""
"AIG","","0697270759","SINISTRI@SDMBROKER.IT","","","",""
"AIOI NISSAY DOWA","","800894046","CLIENTI@AIOINISSAYDOWA.EU","CRISTALLI@AIOINISSAYDOWA.EU","","",""
"ALLIANZ","","800 68 68 68","MAILCLD800@ALLIANZ.IT","","","",""
"ALLIANZ DIRECT (EX GENIALLOYD)","","0230459009","MAILCLD800@ALLIANZ.IT ","","","",""
"AMISSIMA","","0362 355875","","AMISSIMA@PEC.AMISSIMA.IT","RECLAMIVITA@AMISSIMAVITA.IT","",""
"AON","","0245422607","DENUNCIA.SOGESSUR@AON.IT","","","",""
"ARCA ASSICURAZIONI","","800849089","","ARCAASSICURAZIONI@PEC.UNIPOL.IT","","",""
"ARGO GLOBAL","","01114703295","AREASINISTRI@EURORISARCIMENTI.IT","","INFO@ARGO-GLOBAL.IT","",""
"ASSICURATRICE MILANESE","","0597479111","UFFICIO.SINISTRI@ASSICURATRICEMILANESE.IT","","","",""
"ASSIMOCO","","800 97 68 68","APERTURA.SINISTRI@ASSIMOCO.IT","","UFFICIORECLAMISINISTRI@ASSIMOCO.IT","",""
"ASSISTANCE PLUS","","800090351","SINISTRI@RETURNITALIA.IT","","","",""
"AUTOCRISTALLI","","","","","","",""
"AVIVA","","800 11 44 33","","ALLIANZVIVA@LEGALMAIL.IT","RECLAMI.AVIVAITALIA@ALLIANZ.IT","",""
"AXA","","800 08 55 59","","AXAASSICURAZIONI@AXA.LEGALMAIL.IT","CESARE.DELFINI@AXA.IT","",""
"AXA RCI","","","SINISTRIAUTO.RCI@AXA.IT","","","SINISTRIAUTO.RCI@AXA.IT",""
"BENE ASSICURAZIONI","","02465488115","","BENEASSICURAZIONI@LEGALMAIL.IT","RECLAMI@BENE.IT","",""
"CARGEAS","","03 50 86 1051","","SINISTRI@PEC.INTESASANPAOLOASSICURA.COM"," RECLAMI@INTESASANPAOLOASSICURA.COM ","",""
"CATTOLICA","","800 57 53 53","","CATTOLICA.ASSICURAZIONI@PEC.GRUPPOCATTOLICA.IT","LIQUIDAZIONECONTACTCENTER.IT@GENERALI.COM","",""
