"insuranceDescription","insuranceTypeOpenAccident","insurancePhone","insuranceMail","insurancePec","insuranceMailComplaint","insuranceMailComplaintPec","insuranceFax","companyId","companyName","status","order"
"ABY SERVIZI SRL","","","","","","","",1,"Cristallo srls","published",""
"ADRIATIC ASSICURAZIONI","","0409652883","SINISTRI@ADRIATIC-ASSICURAZIONI.IT","","","","",1,"Cristallo srls","published",""
"AIG","","0697270759","SINISTRI@SDMBROKER.IT","","","","",1,"Cristallo srls","published",""
"AIOI NISSAY DOWA","","800894046","CLIENTI@AIOINISSAYDOWA.EU","CRISTALLI@AIOINISSAYDOWA.EU","","","",1,"Cristallo srls","published",""
"ALLIANZ","","800 68 68 68","MAILCLD800@ALLIANZ.IT","","","","",1,"Cristallo srls","published",""
"ALLIANZ DIRECT (EX GENIALLOYD)","","0230459009","MAILCLD800@ALLIANZ.IT ","","","","",1,"Cristallo srls","published",""
"AMISSIMA","","0362 355875","","AMISSIMA@PEC.AMISSIMA.IT","RECLAMIVITA@AMISSIMAVITA.IT","","",1,"Cristallo srls","published",""
"AON","","0245422607","DENUNCIA.SOGESSUR@AON.IT","","","","",1,"Cristallo srls","published",""
"ARCA ASSICURAZIONI","","800849089","","ARCAASSICURAZIONI@PEC.UNIPOL.IT","","","",1,"Cristallo srls","published",""
"ARGO GLOBAL","","01114703295","AREASINISTRI@EURORISARCIMENTI.IT","","INFO@ARGO-GLOBAL.IT","","",1,"Cristallo srls","published",""
"ASSICURATRICE MILANESE","","0597479111","UFFICIO.SINISTRI@ASSICURATRICEMILANESE.IT","","","","",1,"Cristallo srls","published",""
"ASSIMOCO","","800 97 68 68","APERTURA.SINISTRI@ASSIMOCO.IT","","UFFICIORECLAMISINISTRI@ASSIMOCO.IT","","",1,"Cristallo srls","published",""
"ASSISTANCE PLUS","","800090351","SINISTRI@RETURNITALIA.IT","","","","",1,"Cristallo srls","published",""
"AUTOCRISTALLI","","","","","","","",1,"Cristallo srls","published",""
"AVIVA","","800 11 44 33","","ALLIANZVIVA@LEGALMAIL.IT","RECLAMI.AVIVAITALIA@ALLIANZ.IT","","",1,"Cristallo srls","published",""
"AXA","","800 08 55 59","","AXAASSICURAZIONI@AXA.LEGALMAIL.IT","CESARE.DELFINI@AXA.IT","","",1,"Cristallo srls","published",""
"AXA RCI","","","SINISTRIAUTO.RCI@AXA.IT","","","SINISTRIAUTO.RCI@AXA.IT","",1,"Cristallo srls","published",""
"BENE ASSICURAZIONI","","02465488115","","BENEASSICURAZIONI@LEGALMAIL.IT","RECLAMI@BENE.IT","","",1,"Cristallo srls","published",""
"CARGEAS","","03 50 86 1051","","SINISTRI@PEC.INTESASANPAOLOASSICURA.COM"," RECLAMI@INTESASANPAOLOASSICURA.COM ","","",1,"Cristallo srls","published",""
"CATTOLICA","","800 57 53 53","","CATTOLICA.ASSICURAZIONI@PEC.GRUPPOCATTOLICA.IT","LIQUIDAZIONECONTACTCENTER.IT@GENERALI.COM","","",1,"Cristallo srls","published",""
"CON.TE","","06 45 234523","GESTIONESINISTRI@CONTE.IT","","DEBORA.VERDINO@CONTE.IT","","",1,"Cristallo srls","published",""
"COVEA FIAT/OPEL","","","","MACH1@REGISTERPEC.IT","","","",1,"Cristallo srls","published",""
"COVEA RENAULT/DACIA","","800 19 69 20","","ASSISTENZACLIENTI@MACH-1.IT","","","",1,"Cristallo srls","published",""
"COVEA VOLKSW/SEAT/AUDI/SKODA","","","","VWFS@MACH-1.IT","","","",1,"Cristallo srls","published",""
"CREDIT AGRICOLE","","","UGS@CA-ASSICURAZIONI.IT","","","","",1,"Cristallo srls","published",""
"CREDIT RAS","true","800 11 66 33","MAILCLD800@ALLIANZ.IT","","RECLAMI@CREDITRASASSCIURAZIONI.IT","","",1,"Cristallo srls","published",""
