pointType,pointDescription,pointAddress1,pointCity,pointProvince,pointZip,pointWelcome,pointPhone,pointRefererPhone,pointEmail,pointWelcomeDate,pointHolderPhone
"CRISTALLO","(SEDE CLIENTE) MODA TRASPORTI","VIA DEL LAVORO, 82","ASTI","AT","14100","","","","","",""
"CRISTALLO","(SEDE CLIENTE) NEW ELFIN DIVISIONE PULSANTI SRL","STRADA COMMENDA 1/O","CASELLE TORINESE","TO","10072","","0115365000","","","",""
"CRISTALLO","(SEDE CLIENTE) PASQUALICCHIO","VIA TETTI AGOSTINO 21","SANTENA","TO","10026","","","","","",""
"CRISTALLO","(SEDE CLIENTE) PENTA SERVIZI","VIA GARIBALDI 34","BORGARO","TO","10071","","","","","",""
"CRISTALLO","(SEDE CLIENTE) VIA GUILLESTRE 7","VIA GUILLESTRE 7","TORRE PELLICE ","TO","10066","","","","","",""
"CRISTALLO","(SEDE CLIENTE) VITTONE EROS","VIA CAVOUR 94","BIBIANA","TO","10060","","","","","",""
"ACREW","AL_ACQUI TERME_01_GARAGE TERME","VIA MONTEVERDE, 4","ACQUI TERME","AL","15011","","0144322197","3737083657","GARAGETERME@VIRGILIO.IT","",""
"BCS","AL_ACQUI TERME_02_PICIGA OMAR E FABIO SNC","VIA CASSAROGNA, 107","ACQUI TERME","AL","15011","","0144324970","337 104 5347","DIESELACQUI@LIBERO.IT","",""
"CRISTALLO","AL_ACQUI TERME_03_GARAGE MARINA SNC","VIA SAN LAZZARO 10","ACQUI TERME","AL","15011","true","014456028","338 525 1218","GARAGE.MARINA@ALICE.IT","03/11/2020 10:58",""
"CRISTALLO","AL_ACQUI TERME_04_M.S. RIPARAZIONI","VIA B.SALVADORI 69","ACQUI TERME","AL","15011","true","0144324571","3338409964","MSRIPARAZIONI@GMAIL.COM","14/10/2020 15:18",""
"CRISTALLO","AL_ACQUI TERME_05_AUTOFFICINA BENNARDO","VIA ANGELA CASAGRANDE 81","ACQUI TERME","AL","15011","",""," 339 635 169","","",""
"CRISTALLO","AL_ACQUI TERME_06_TECNOAUTO","VIA TRIESTE 41","ACQUI TERME","AL","15011","true","014458270","3382897962","TECNOAUTOSNC@GMAIL.COM","14/12/2021 09:56",""
"DEROGHE","AL_ARQUATA SCRIVIA_01_AUTOELETTRONICA F.LLI DOMINICI","VIA SERRAVALLE 33","ARQUATASCRIVIA","AL","15061","","0143635397","340 166 7311","AUTO.ELETTRONICA@HOTMAIL.IT","","331 175 5556"
"DEROGHE","AL_BASALUZZO_01_GIEMME SRL","VIA NOVARA 9","BASALUZZO","AL","15060","","0143488020","335 528 8554","GIEMME@GIEMME-STAFF.IT","","339 248 1683"
