"supplierDescription","supplierVatCode","supplierPhone","supplierEmail","companyId","companyName","status","order"
"AGRISERVICE","","","",1,"Cristallo srls","published",""
"ALPIMOTOR","05564840014","0121500152","",1,"Cristallo srls","published",""
"AUTOMAR","","","",1,"Cristallo srls","published",""
"AUTOSTANDAR","","","",1,"Cristallo srls","published",""
"AUTOVIP","","","",1,"Cristallo srls","published",""
"BIAUTO","10418470018","0112483711","",1,"Cristallo srls","published",""
"BIAUTO CLUB","11414950011","0112483711","",1,"Cristallo srls","published",""
"BIMAUTO","02256520996","3460144637","MICHAEL.DOVA@BIMAUTO.IT; ROSA.BUONOCORE@BIMAUTO.IT",1,"Cristallo srls","published",""
"BOCAR","02446030013","0119214500","INFO@BOCAR.IT",1,"Cristallo srls","published",""
"CENTRO PORSCHE ERRESSE","","","",1,"Cristallo srls","published",""
"CER / CRF","","","",1,"Cristallo srls","published",""
"CRYSTAL DRIVE","","","",1,"Cristallo srls","published",""
"DI VIESTO","","","",1,"Cristallo srls","published",""
"DIRA","01830080048","0172474026","MBOX@DIRA.IT",1,"Cristallo srls","published",""
"DIRA CASSA A","","","",1,"Cristallo srls","published",""
"DIRA CASSA B","","","",1,"Cristallo srls","published",""
"DIRA CASSA C","","","",1,"Cristallo srls","published",""
"DIRA CASSA D","","","",1,"Cristallo srls","published",""
"DIRA CASSA E","","","",1,"Cristallo srls","published",""
"DIRA CASSA F","","","",1,"Cristallo srls","published",""
"DIRA CASSA G","","","",1,"Cristallo srls","published",""
"DIRA POINT","","","",1,"Cristallo srls","published",""
"DIRA RITIRO AL BANCO A","","","",1,"Cristallo srls","published",""
"DIRA RITIRO AL BANCO B","","","",1,"Cristallo srls","published",""
"DIRA RITIRO AL BANCO C","","","",1,"Cristallo srls","published",""
"DIRA RITIRO AL BANCO D","","","",1,"Cristallo srls","published",""
"DIRA RITIRO AL BANCO E","","","",1,"Cristallo srls","published",""
"DIRA RITIRO AL BANCO F","","","",1,"Cristallo srls","published",""
"DIRA RITIRO AL BANCO G","","","",1,"Cristallo srls","published",""
"EURO OFFICINE SALUZZO","","","",1,"Cristallo srls","published",""
"EUROGLASS","","","",1,"Cristallo srls","published",""
"EVOCAR","","","",1,"Cristallo srls","published",""
"FAP RICAMBI","","","",1,"Cristallo srls","published",""
"FASANO AUTOMOBILI","","","",1,"Cristallo srls","published",""
"FCA","","","",1,"Cristallo srls","published",""
"GINO SPA","","","",1,"Cristallo srls","published",""
"ITALIA VR GROUP","","","",1,"Cristallo srls","published",""
"LANCAR","","","",1,"Cristallo srls","published",""
"MONCALVO","","","",1,"Cristallo srls","published",""
"MOTER SRL","","","",1,"Cristallo srls","published",""
"MR AUTO SRL","","","",1,"Cristallo srls","published",""
"NISSAUTO","","","",1,"Cristallo srls","published",""
"OFFICINA VENTRICE","","","",1,"Cristallo srls","published",""
"ORECCHIA E SCAVARDA","","","",1,"Cristallo srls","published",""
"ORIGLASS","","","",1,"Cristallo srls","published",""
"POL RICAMBI","","","",1,"Cristallo srls","published",""
"RDM RICAMBI","","","",1,"Cristallo srls","published",""
"RE.VI TRUCKS","","","",1,"Cristallo srls","published",""
"SAINT GOBAIN","13383930156","029007881","ORDINI.AUTOVERITALIA@SAINT-GOBAIN.COM",1,"Cristallo srls","published",""
"SEVEN MOTORS","","","",1,"Cristallo srls","published",""
"VENTRICE","11631520019","0119619900","INFO@OFFICINAVENTRICE.EU",1,"Cristallo srls","published",""
"WGLASS","","","",1,"Cristallo srls","published",""
