"vehicleType","vehicleCarFrame","vehicleCarBrand","vehicleModel","vehicleDischarge","vehicleImported","vehicleRegistration","vehicleCarPlate","companyId","companyName","status","order"
"V","1C4HJWE54CL289152","JEEP","WRANGLER","100%","","","",1,"Cristallo srls","published",""
"V","295BGW6000","FIAT","DUCATO","0%","","","",1,"Cristallo srls","published",""
"V","3C4NJCCH4KT643575","JEEP","COMPASS","0%","","","",1,"Cristallo srls","published",""
"V","5N1AZ2MG5HN143016,","NISSAN","MURANO","0%","","","",1,"Cristallo srls","published",""
"V","5YJSA7E26KF301028","TESLA","MODEL S","0%","","","",1,"Cristallo srls","published",""
"V","CAT0320CAJTG00751","CAT","320C","0%","","","",1,"Cristallo srls","published",""
"V","HACT7190VMD102664","AIXAM","GT","0%","","","",1,"Cristallo srls","published",""
"V","HLRT512DJLLV09867","NEW HOLLAND","T 5.120 DINAMIC","0%","","","",1,"Cristallo srls","published",""
"V","JDAJ210G001108182","DAIHATSU","TERIOS","0%","","","",1,"Cristallo srls","published",""
"V","JF1SH5LW49G049178","SUBARU","FORESTER","0%","","","",1,"Cristallo srls","published",""
"V","JF1SJ5LC5KG410353","SUBARU","FORESTER","0%","","","",1,"Cristallo srls","published",""
"V","JMZGLF92801618130","MAZDA","6","0%","","10/07/2021","",1,"Cristallo srls","published",""
"V","JMZKF6W7600823682","MAZDA","CX5","0%","","","",1,"Cristallo srls","published",""
"V","JN1BGUD22U0027643","NISSAN","KING CUB","0%","","","",1,"Cristallo srls","published",""
"V","KL1SF48TJ8B075230","AIXAM","GT","0%","","","",1,"Cristallo srls","published",""
"V","KNAHU815AF7078616","KIA","CARENS","0%","","","",1,"Cristallo srls","published",""
"V","MALAM51BAAM408705","HYUNDAI","I10","0%","","","",1,"Cristallo srls","published",""
"V","NMTKV58E90R050740","TOYOTA","AURIS","0%","","","",1,"Cristallo srls","published",""
"V","PC180-K34002","KOMATSU PC 180","SERIE 6","0%","","","",1,"Cristallo srls","published",""
"V","PT669373","CITROEN","C3","0%","","","",1,"Cristallo srls","published",""
"V","SAL1A2BW8PA115957","LAND ROVER","RANGE ROVER SPORT","0%","","","",1,"Cristallo srls","published",""
"V","SALGA2BW1MA432100","LAND ROVER","RANGE ROVER","0%","","","",1,"Cristallo srls","published",""
"V","SB1Z93BE00E256105","TOYOTA","COROLLA","0%","","","",1,"Cristallo srls","published",""
"V","SB1ZB3JE20E002837","TOYOTA","AURIS","0%","","","",1,"Cristallo srls","published",""
"V","SJNFCAF15U7114760","NISSAN","JUKE","0%","","","",1,"Cristallo srls","published",""
"V","TMAPU81RAHJ232732","HYUNDAI","IX20","0%","","","",1,"Cristallo srls","published",""
"V","TMBJJ6NE4H0142372","SKODA","OCTAVIA","0%","","","",1,"Cristallo srls","published",""
"V","UU1BSDBLK46457696","DACIA","SANDERO","0%","","","",1,"Cristallo srls","published",""
"V","VF17RKJ0A59888919","RENAULT","CLIO","0%","","","",1,"Cristallo srls","published",""
"V","VF1FL000371089406","RENAULT","TRAFIC","0%","","","",1,"Cristallo srls","published",""
"V","VF1FL000870571391","RENAULT","TRAFIC","0%","","","",1,"Cristallo srls","published",""
"V","VF1FLAMA67Y218201","RENAULT","TRAFIC","0%","","","",1,"Cristallo srls","published",""
"C","VF1JL000470569986","RENAULT","TRAFIC","100%","","","",1,"Cristallo srls","published",""
"V","VF1JLCJA67Y231055","RENAULT","TRAFIC","0%","","","",1,"Cristallo srls","published",""
"V","VF1KT2D0639690856","RENAULT","LAGUNA","0%","","","",1,"Cristallo srls","published",""
"V","VF1MA000270723260","RENAULT","MASTER","0%","","","",1,"Cristallo srls","published",""
"V","VF1MA000370723266","RENAULT","MASTER","0%","","","",1,"Cristallo srls","published",""
"V","VF1MA000971112054","RENAULT","MASTER","0%","","","",1,"Cristallo srls","published",""
"V","VF1RJK00371400542","RENAULT","EXPRESS","0%","","","",1,"Cristallo srls","published",""
"V","VF30E9HR8CS119972","PEUGEOT","5008","0%","","","",1,"Cristallo srls","published",""
"V","VF320SA9224738269","PEUGEOT","205","0%","","","",1,"Cristallo srls","published",""
"V","VF33ARFNF83378451","PEUGEOT","307","0%","","","",1,"Cristallo srls","published",""
"V","VF37A9HN0FJ758433","PEUGEOT","PARTNER","0%","","","",1,"Cristallo srls","published",""
"V","VF3CUHNPNJY198498","PEUGEOT","2008","0%","","","",1,"Cristallo srls","published",""
"V","VF3MCYHZUPS092482","PEUGEOT","3008","0%","","","",1,"Cristallo srls","published",""
"V","VF3PNCFB088556358","PEUGEOT","107","0%","","","",1,"Cristallo srls","published",""
"V","VF3VEAHXKKZ086722","PEUGEOT","EXPERT","0%","","","",1,"Cristallo srls","published",""
"V","VF3WB5FWC34311387","PEUGEOT","207","0%","","","",1,"Cristallo srls","published",""
"V","VF3WC9HZC9E026010","PEUGEOT","207","0%","","","",1,"Cristallo srls","published",""
"V","VF644AHL000008392","RENAULT","MIDLUM","0%","","","",1,"Cristallo srls","published",""
"V","VF72RHNPML4077598","CITROEN","C3","0%","","","",1,"Cristallo srls","published",""
"V","VF7AAKFT0D8382138","CITROEN","NEMO","0%","","","",1,"Cristallo srls","published",""
"V","VF7LC9HZC74407571","CITROEN","C4","0%","","","",1,"Cristallo srls","published",""
"V","VF7YLBPFB12W25204","CITROEN","JUMPER","0%","","","",1,"Cristallo srls","published",""
"V","VNKKC3D330A099274","TOYOTA","YARIS","0%","","","",1,"Cristallo srls","published",""
"V","VNKKLAB330A023223","TOYOTA","YARIS","0%","","","",1,"Cristallo srls","published",""
"V","VSSZZZKJZJR013282","SEAT","IBIZA","0%","","","",1,"Cristallo srls","published",""
"V","VXKUBYHTKL4432976","OPEL","CORSA","0%","","","",1,"Cristallo srls","published",""
"V","VXKUPHNEKN426363","OPEL","CORSA","0%","","","",1,"Cristallo srls","published",""
"V","W0L06BG763V510381","OPEL","FRONTERA","0%","","","",1,"Cristallo srls","published",""
"V","W0L0AHL0865026170","OPEL","ASTRA","0%","","18/10/2005","",1,"Cristallo srls","published",""
"V","W0L0AHM757G014272","OPEL","ZAFIRA","0%","","","",1,"Cristallo srls","published",""
"V","W0L0AHM759G006533","OPEL","ZAFIRA","0%","","","",1,"Cristallo srls","published",""
"V","W0L0SDL0886040094","OPEL","CORSA","0%","","","",1,"Cristallo srls","published",""
"V","W0L0TGF7532270106","OPEL","ZAFIRA","0%","","","",1,"Cristallo srls","published",""
"V","W0L0XCE7584077443","OPEL","MERIVA","0%","","","",1,"Cristallo srls","published",""
"V","W0L0XCF0643038473","OPEL","COMBO","0%","","","",1,"Cristallo srls","published",""
"V","W0L0XCF0846001984","OPEL","CORSA","0%","","","",1,"Cristallo srls","published",""
"V","W0L0XCF6824239666","OPEL","CORSA","0%","","","",1,"Cristallo srls","published",""
